ID	sample	Breaking_force	Breaking_strain	Youngs_modulus_mN	Breaking_stress	Youngs_modulus_MPa	diameter	web_code	thread_code	web	thread
CR-2a	CR-2a	8.65	0.583	119.21	61.2400694365393	843.980193934086	13.41391	C	R	Cocoon	Radius
CR-2b	CR-2b	7.97	0.266	221.63	56.4258212033778	1569.09093516996	13.41391	C	R	Cocoon	Radius
CR-2c	CR-2c	26.59	0.722	213.66	188.25126547024	1512.66511396659	13.41391	C	R	Cocoon	Radius
CR-2d	CR-2d	11.187	0.43	197.37	79.2014632123196	1397.33554967512	13.41391	C	R	Cocoon	Radius
CR-2e	CR-2e	5.32	0.34	65.447	37.664412647675	463.350153111351	13.41391	C	R	Cocoon	Radius
CR-2f	CR-2f	7.877	0.58	170.75	55.7674019597248	1208.87189090047	13.41391	C	R	Cocoon	Radius
CR-2g	CR-2g	18.187	0.306	266.4	128.759900906629	1886.05254310914	13.41391	C	R	Cocoon	Radius
CR-2h	CR-2h	16.873	0.365	230.78	119.457074173726	1633.87089301324	13.41391	C	R	Cocoon	Radius
CR-2i	CR-2i	9.69	0.126	209.99	68.6030373225509	1486.68233306114	13.41391	C	R	Cocoon	Radius
CR-2j	CR-2j	17.16	0.423	221.09	121.488970119192	1565.26785569069	13.41391	C	R	Cocoon	Radius
CR-2k	CR-2k	48.777	0.964	468.44	345.33027363076	3316.45065050317	13.41391	C	R	Cocoon	Radius
CR-2l	CR-2l	27.627	0.425	321.66	195.592994025812	2277.28100982164	13.41391	C	R	Cocoon	Radius
CR-2m	CR-2m	3.55	0.035	18.479	25.1332076878282	130.827195736163	13.41391	C	R	Cocoon	Radius
CR-2n	CR-2n	18.197	0.558	221.3	128.830698674764	1566.75460882152	13.41391	C	R	Cocoon	Radius
CR-2o	CR-2o	33.383	0.501	372.77	236.344189364161	2639.12840275824	13.41391	C	R	Cocoon	Radius
CR-2p	CR-2p	19.467	0.453	279.84	137.822015227874	1981.20474348221	13.41391	C	R	Cocoon	Radius
CR-3a	CR-3a	20.727	0.639	74.231	248.808868905475	891.075946722743	10.3015	C	R	Cocoon	Radius
CR-3b	CR-3b	16.777	0.628	118.24	201.392695210457	1419.36414625287	10.3015	C	R	Cocoon	Radius
CR-3c	CR-3c	55.977	0.48	629.5	671.953203778731	7556.57755468695	10.3015	C	R	Cocoon	Radius
CR-4a	CR-4a	28.813	0.604	200.97	268.325946142396	1871.5671882913	11.69575	C	R	Cocoon	Radius
CR-4b	CR-4b	29.47	0.534	186.74	274.444370000222	1739.04790138587	11.69575	C	R	Cocoon	Radius
CR-4c	CR-4c	10.183	0.276	137.67	94.8309134615631	1282.07520929524	11.69575	C	R	Cocoon	Radius
